time_sec,team_id,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
1315,20,82.62,0,2,3,5,4,5,0,-5857.56,17011.91,-1.42,100.0,0,3,3,5,7,4,0,-3902.75,16442.09,-0.69,89.71,0,2,3,11,3,4,0,-3751.0,16056.53,-0.76,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,272.33
1315,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,82.0,0,2,3,4,6,2,0,5376.62,-15775.56,-0.36,100.0,0,2,2,1,0,0,0,14049.88,2138.84,0.43,2,182.0
1315,13,40.99,0,2,2,3,4,3,0,9877.94,-19680.06,-0.56,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,40.99
1316,1,100.0,0,2,3,5,1,0,0,10428.12,458.25,0.33,98.57,0,2,2,5,3,1,0,8187.75,-1802.78,0.23,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,10732.25,-617.59,0.36,3,298.57
1316,20,82.62,0,2,3,5,4,5,0,-5857.56,17011.91,-1.42,100.0,0,3,3,5,7,4,0,-3902.75,16442.09,-0.69,91.71,0,2,3,11,3,4,0,-3906.44,16016.06,-0.77,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,274.33
1316,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,82.0,0,2,3,4,6,2,0,5376.62,-15775.56,-0.36,100.0,0,2,2,1,0,0,0,14049.88,2138.84,0.43,2,182.0
1316,13,40.99,0,2,2,3,4,3,0,9877.94,-19680.06,-0.56,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,40.99
1317,1,100.0,0,2,3,5,1,0,0,10428.12,458.25,0.25,98.57,0,2,2,5,3,1,0,8187.75,-1802.78,0.15,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,10732.25,-617.59,0.28,3,298.57
1317,20,82.62,0,2,3,5,4,5,0,-5857.56,17011.91,-1.45,100.0,0,3,3,5,7,4,0,-3902.75,16442.09,-0.74,91.71,0,2,3,11,3,4,0,-3906.44,16016.06,-0.82,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,274.33
1317,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,6026.12,-16005.28,-0.32,100.0,0,2,2,1,0,0,0,14049.88,2138.84,0.35,2,103.0
